APIS (Demisto Class),,Common Server Python,,XSOAR 8 API ,,,XSOAR 6 API,,
_apiCall,,AutoFocusKeyRetriever,,Get Audit Management Log,/public_api/v1/audits/management_logs,,revokeUserAPIKey,/apikeys/revoke/user/{username},
addEntry,,BarColumnPieWidget,,Create or Update an Incident,/xsoar/public/v1/incident,,Create or update automation,/automation,
args,,CommandResults,,Create an Incident from JSON,/xsoar/public/v1/incident/json,,Copy automation,/automation/copy,
command,,CommandRunner,,Search Incidents by Filter,/xsoar/public/v1/incidents/search,,Delete existing automation,/automation/delete,
context,,Command,,Create a New Incident Type,/xsoar/public/v1/incidenttype,,Import an automation,/automation/import,
createIncidents,,Result,,Search Indicators,/xsoar/public/v1/indicators/search,,Search Automation (aka scripts),/automation/search,
createIndicators,,ConfKey,,Get Roles,/public_api/v1/rbac/get_roles,,Import a classifier,/classifier/import,
credentials,,DBotScoreReliability,,Get User Groups,/public_api/v1/rbac/get_user_group,,Upload Pack,/contentpacks/installed/upload,
debug,,DBotScoreType,,Get Users,/public_api/v1/rbac/get_users,,Import a dashboard,/dashboards/import,
demistoUrls,,DebugLogger,,Set a User Role,/public_api/v1/rbac/set_user_role,,Create new entry in existing investigation,/entry,
demistoVersion,,DemistoHandler,,Get Widget Statistics,/xsoar/public/v1/v2/statistics/widgets/query,,Download file,/entry/download/{entryid},
directMessage,,EntityRelationship,,,,,Create new entry in existing investigation,/entry/execute/sync,
dt,,RelationshipsTypes,,,,,Export Artifact,/entry/exportArtifact,
error,,RelationshipsFamily,,,,,Create new formatted entry in existing investigation,/entry/formatted,
executeCommand,,Relationships,,,,,Mark entry as note,/entry/note,
findUser,,EntryFormat,,,,,Set entry tags,/entry/tags,
get,,EntryType,,,,,Save evidence,/evidence,
getAllSupportedCommands,,ErrorTypes,,,,,delete evidence,/evidence/delete,
getArg,,ExecutionMetrics,,,,,Search evidence,/evidence/search,
getAutoFocusApiKey,,FeedIndicatorType,,,,,Check if Cortex XSOAR server is available,/health,
getFilePath,,FormatADTimestamp,,,,,Get health containers,/health/containers,
getIndexHash,,FormatIso8601,,,,,Create single incident,/incident,
getIntegrationContext,,GetDemistoVersion,,,,,Batch create incidents,/incident/batch,
getIntegrationContextVersioned,,GetMappingFieldsResponse,,,,,Batch export incidents to csv,/incident/batch/exportToCsv,
getLastMirrorRun,,GetModifiedRemoteDataArgs,,,,,Batch close incidents,/incident/batchClose,
getLastRun,,GetModifiedRemoteDataResponse,,,,,Batch delete incidents,/incident/batchDelete,
getLicenseCustomField,,GetRemoteDataArgs,,,,,Get incident as CSV,/incident/csv/{id},
getLicenseID,,GetRemoteDataResponse,,,,,Create incident from JSON,/incident/json,
getParam,,IncidentSeverity,,,,,incidentFileUpload,/incident/upload/{id},
gets,,IncidentStatus,,,,,Set tags field,/incidentfield/tags/reset/{id},
handleEntitlementForUser,,IndicatorsSearcher,,,,,Get all incident fields associated with incident type,/incidentfields/associatedTypes/{type},
incident,,IndicatorsTimeline,,,,,Import an incident field,/incidentfields/import,
incidents,,InputArgument,,,,,Search incidents by filter,/incidents/search,
info,,IntegrationLogger,,,,,Create new Incident Type,/incidenttype,
integrationInstance,,JsonTransformer,,,,,Import an incident type,/incidenttypes/import,
internalHttpRequest,,LineWidget,,,,,Create Indicator,/indicator/create,
investigation,,NormalizeRegistryPath,,,,,Edit Indicator,/indicator/edit,
log,,NumberWidget,,,,,Whitelists or deletes Indicator,/indicator/whitelist,
mapObject,,OutputArgument,,,,,Batch export indicators to STIX,/indicators/batch/export/stix,
mirrorInvestigation,,ParameterTypes,,,,,Batch export indicators to csv,/indicators/batch/exportToCsv,
params,,PollResult,,,,,Batch whitelist or delete indicators,/indicators/batchDelete,
parentEntry,,PrettifyCompactedTimestamp,,,,,Get indicators as CSV,/indicators/csv/{id},
results,,ScheduledCommand,,,,,Create feed indicators from JSON,/indicators/feed/json,
searchIndicators,,SchemeTypeMapping,,,,,Search indicators,/indicators/search,
searchRelationships,,SmartGetDict,,,,,Get indicators as STIX V2,/indicators/stix/v2/{id},
setAssetsLastRun,,TableOrListWidget,,,,,Delete indicators timeline,/indicators/timeline/delete,
setContext,,TextWidget,,,,,Create indicators,/indicators/upload,
setIntegrationContext,,ThreatIntel,,,,,Create whitelisted,/indicators/whitelist/update,
setIntegrationContextVersioned,,ObjectsNames,,,,,Add ad-hoc task,/inv-playbook/task/add/{investigationId},
setLastMirrorRun,,ObjectsScore,,,,,Assign task,/inv-playbook/task/assign,
setLastRun,,KillChainPhases,,,,,[Deprecated] Complete a task,/inv-playbook/task/complete,
uniqueFile,,TrendWidget,,,,,Complete task simple (no file),/inv-playbook/task/complete/simple,
